32376546	The ongoing epidemic of caused by the coronavirus SARS-CoV-2 starting in December 2019 poses a serious public health threat globally. The virus is highly infectious and transmitted mainly through droplets and contacts, and is associated with a high risk of pneumonia. A small number of patients may present with acute respiratory distress syndrome with severe respiratory complications, which can lead even to death. The selection of appropriate detection techniques and methods for accurate and rapid identification of pathogens therefore plays a key role in improving the diagnosis and treatment of the patients and containing the outbreak. In this review, the authors gives an overview of the virus laboratory detection technology, including virus isolation and culture, real-time fluorescent PCR, gene sequencing, serological antibody detection, and the gene editing technology based on CRISPR/Cas13 system. These techniques are expected to provide valuable assistance in controlling the epidemic and new ideas for future researches.	F Qiu|H Wang|Z Zhang|L Cao|C Wang|J Wu|Q Du
32353252	The coronavirus disease 2019 (COVID-19) pandemic, caused by the SARS-CoV-2 virus, has highlighted the need for antiviral approaches that can target emerging viruses with no effective vaccines or pharmaceuticals. Here, we demonstrate a CRISPR-Cas13-based strategy, PAC-MAN (prophylactic antiviral CRISPR in human cells), for viral inhibition that can effectively degrade RNA from SARS-CoV-2 sequences and live influenza A virus (IAV) in human lung epithelial cells. We designed and screened CRISPR RNAs (crRNAs) targeting conserved viral regions and identified functional crRNAs targeting SARS-CoV-2. This approach effectively reduced H1N1 IAV load in respiratory epithelial cells. Our bioinformatic analysis showed that a group of only six crRNAs can target more than 90% of all coronaviruses. With the development of a safe and effective system for respiratory tract delivery, PAC-MAN has the potential to become an important pan-coronavirus inhibition strategy.	TR Abbott|G Dhamdhere|Y Liu|X Lin|L Goudy|L Zeng|A Chemparathy|S Chmura|NS Heaton|R Debs|T Pande|D Endy|MF La Russa|DB Lewis|LS Qi
32315229	K Davies|R Barrangou
32235908	DJ Burgess
32208081	J Cockbain|S Sterckx
32157225	H Ledford
32157203	A Fenner
32123334	Q Yang|KC Oost|P Liberali
32109355	Aeromonas species are indigenous in diverse aquatic environments and play important roles in environmental remediation. However, the pollutant transformation mechanisms of these bacteria remain elusive, and their potential in pollution control is largely unexploited so far. In this work, we report an efficient and simple genome regulation tool to edit Aeromonas hydrophila and identify its biomolecular pathways for pollutant transformation. The genome regulation system, which is based on the type II clustered regularly interspaced short palindromic repeat interference (CRISPRi) system from Streptococcus pyogenes, can serve as a reversible and multiplexible platform for gene knockdown in A. hydrophila. A single-plasmid CRISPRi system harboring both dCas9 and the sgRNA was constructed in A. hydrophila and used to silence diverse genes with varied sizes and expression levels. With this system, up to 467-fold repression of gfp expression was achieved, and the function of the essential gene-ftsZ was identified quickly and accurately. Furthermore, simultaneous transcriptional repression of multiple targeted genes was realized. We discovered that the ars operon played an essential role in arsenic detoxification, and the extracellular electron transfer (EET) pathway was involved in methyl orange reduction, but not in vanadium reduction by A. hydrophila. Our method allows better insights and effective genetic manipulation of the pollutant transformation processes in Aeromonas, which might facilitate more efficient utilization of the Aeromonas species and other microbial species for environmental remediation applications.	J Wu|ZH Cheng|D Min|L Cheng|RL He|DF Liu|WW Li
32101421	Carbon competition between cell growth and product synthesis is the bottleneck in efficient N-acetyl glucosamine (GlcNAc) production in microbial cell factories. In this study, a xylose-induced T7 RNA polymerase-PT7 promoter system was introduced in Escherichia coli W3110 to control the GlcNAc synthesis. Meanwhile, an arabinose-induced CRISPR interference (CRISPRi) system was applied to adjust cell growth by attenuating the transcription of key growth-related genes. By designing proper sgRNAs, followed by elaborate adjustment of the addition time and concentration of the two inducers, the carbon flux between cell growth and GlcNAc synthesis was precisely redistributed. Comparative metabolomics analysis results confirmed that the repression of pfkA and zwf significantly attenuated the TCA cycle and the synthesis of related amino acids, saving more carbon for the GlcNAc synthesis. Finally, the simultaneous repression of pfkA and zwf in strain GLA-14 increased the GlcNAc titer by 47.6% compared with that in E. coli without the CRISPRi system in a shake flask. GLA-14 could produce 90.9 g/L GlcNAc within 40 h in a 5 L bioreactor, with a high productivity of 2.27 g/L/h. This dynamic strategy for rebalancing cell growth and product synthesis could be applied in the fermentative production of other chemicals derived from precursors synthesized via central carbon metabolism.	Q Zhang|Z Hou|Q Ma|X Mo|Q Sun|M Tan|L Xia|G Lin|M Yang|Y Zhang|Q Xu|Y Li|N Chen|X Xie
32084183	Proteus spp. are commensal gastrointestinal bacteria in many hosts, but information regarding the mutual relationships between these bacteria and their hosts is limited. The tree shrew is an alternative laboratory animal widely used for human disease research. However, little is known about the relationship between Proteus spp. and tree shrews. In this study, the complete genome sequencing method was used to analyse the characteristics of Proteus spp. isolated from tree shrews, and comparative genomic analysis was performed to reveal their relationships. The results showed that 36 Proteus spp. bacteria were isolated, including 34 Proteus mirabilis strains and two Proteus vulgaris strains. The effective rate of sequencing was 93.53%±2.73%, with an average GC content of 39.94%±0.25%. Briefly, 3682.89±90.37, 2771.36±36.01 and 2832.06±42.49 genes were annotated in the NCBI non-redundant nucleotide database (NR), SwissProt database and KEGG database, respectively. The high proportions of macrolide-, vancomycin-, bacitracin-, and tetracycline-resistance profiles of the strains were annotated in the Antibiotic Resistance Genes Database (ARDB). Flagella, lipooligosaccharides, type 1 fimbriae and P fimbriae were the most abundantly annotated virulence factors in the Virulence Factor Database (VFDB). SNP variants indicated high proportions of base transitions (Ts), homozygous mutations (Hom) and non-synonymous mutations (Non-Syn) in Proteus spp. (P<0.05). Phylogenetic analysis of Proteus spp. and other references revealed high genetic diversity for strains isolated from tree shrews, and host specificity of Proteus spp. bacteria was not found. Overall, this study provided important information on characteristics of genome for Proteus spp. isolated from tree shrews.	W Gu|W Wang|P Tong|C Liu|J Jia|C Lu|Y Han|X Sun|D Kuang|N Li|J Dai
32080622	Ferroptosis is widely involved in degenerative diseases in various tissues including kidney, liver and brain, and is a targetable vulnerability in multiple primary and therapy-resistant cancers. Accumulation of phospholipid hydroperoxides in cellular membranes is the hallmark and rate-limiting step of ferroptosis; however, the enzymes contributing to lipid peroxidation remain poorly characterized. Using genome-wide, CRISPR-Cas9-mediated suppressor screens, we identify cytochrome P450 oxidoreductase (POR) as necessary for ferroptotic cell death in cancer cells exhibiting inherent and induced susceptibility to ferroptosis. By genetic depletion of POR in cancer cells, we reveal that POR contributes to ferroptosis across a wide range of lineages and cell states, and in response to distinct mechanisms of ferroptosis induction. Using systematic lipidomic profiling, we further map POR's activity to the lipid peroxidation step in ferroptosis. Hence, our work suggests that POR is a key mediator of ferroptosis and potential druggable target for developing antiferroptosis therapeutics.	Y Zou|H Li|ET Graham|AA Deik|JK Eaton|W Wang|G Sandoval-Gomez|CB Clish|JG Doench|SL Schreiber
32080184	Recently, both 5p and 3p miRNA strands are being recognized as functional instead of only one, leaving many miRNA strands uninvestigated. To determine whether both miRNA strands, which have different mRNA-targeting sequences, cooperate to regulate pathways/functions across cancer types, we evaluate genomic, epigenetic, and molecular profiles of >5200 patient samples from 14 different cancers, and RNA interference and CRISPR screens in 290 cancer cell lines. We identify concordantly dysregulated miRNA 5p/3p pairs that coordinately modulate oncogenic pathways and/or cell survival/growth across cancers. Down-regulation of both strands of miR-30a and miR-145 recurrently increased cell cycle pathway genes and significantly reduced patient survival in multiple cancers. Forced expression of all four strands show cooperativity, reducing cell cycle pathways and inhibiting lung cancer cell proliferation and migration. Therefore, we identify miRNA whose 5p/3p strands function together to regulate core tumorigenic processes/pathways and reveal a previously unknown pan-cancer miRNA signature with patient prognostic power.	R Mitra|CM Adams|W Jiang|E Greenawalt|CM Eischen
32080068	KH Frith
32076262	CRISPR-Cas immunity protects prokaryotes against invading genetic elements1. It uses the highly conserved Cas1-Cas2 complex to establish inheritable memory (spacers)2-5. How Cas1-Cas2 acquires spacers from foreign DNA fragments (prespacers) and integrates them into the CRISPR locus in the correct orientation is unclear6,7. Here, using the high spatiotemporal resolution of single-molecule fluorescence, we show that Cas1-Cas2 selects precursors of prespacers from DNA in various forms-including single-stranded DNA and partial duplexes-in a manner that depends on both the length of the DNA strand and the presence of a protospacer adjacent motif (PAM) sequence. We also identify DnaQ exonucleases as enzymes that process the Cas1-Cas2-loaded prespacer precursors into mature prespacers of a suitable size for integration. Cas1-Cas2 protects the PAM sequence from maturation, which results in the production of asymmetrically trimmed prespacers and the subsequent integration of spacers in the correct orientation. Our results demonstrate the kinetic coordination of prespacer precursor selection and PAM trimming, providing insight into the mechanisms that underlie the integration of functional spacers in the CRISPR loci.	S Kim|L Loeff|S Colombo|S Jergic|SJJ Brouns|C Joo
